,year,quarter,yr_qtr,ie_new,england_new,scotland_new,wales_new,ni_new,scotland_pop,england_pop,ni_pop,wales_pop,ie_pop,ie_builds_per_10k,england_builds_per_10k,scotland_builds_per_10k,wales_builds_per_10k,ni_builds_per_10k
0,2011,Q1,2011Q1,1875,27590.0,3510.0,1190.0,1270.0,5290475.0,52991025.0,1811925.0,3060350.0,4580084.0,4.093811379878622,5.206542051224712,6.634564949272041,3.8884441322071,7.00912013466341
1,2011,Q2,2011Q2,1791,29560.0,4110.0,1620.0,1690.0,5299900.0,53107200.0,1814300.0,3063800.0,4584946.25,3.906261714627516,5.566100265124126,7.754863299307534,5.287551406749788,9.314887284352091
2,2011,Q3,2011Q3,1687,25010.0,3530.0,1130.0,1270.0,5303325.0,53203825.0,1816625.0,3066375.0,4589808.5,3.6755346110845366,4.7007898398282455,6.656201533943328,3.685133096897803,6.990986031789721
3,2011,Q4,2011Q4,1641,31870.0,4140.0,1720.0,1520.0,5306750.0,53300450.0,1818950.0,3068950.0,4594670.75,3.571529037200326,5.979311619320287,7.8013850285014374,5.604522719496897,8.356469391682014
4,2012,Q1,2012Q1,1131,32070.0,4300.0,1110.0,1240.0,5310175.0,53397075.0,1821275.0,3071525.0,4599533.0,2.458945288576036,6.005946954959611,8.097661564826018,3.613840030603691,6.8084171802720626
5,2012,Q2,2012Q2,1117,29630.0,3800.0,1630.0,1510.0,5313600.0,53493700.0,1823600.0,3074100.0,4605603.75,2.4253063455578436,5.538970009552527,7.151460403492924,5.302364919813929,8.280324632594867
6,2012,Q3,2012Q3,1205,24780.0,3120.0,1230.0,1240.0,5317125.0,53586725.0,1825125.0,3076175.0,4611674.5,2.6129337619122945,4.624279614027541,5.867832710346287,3.99847212853625,6.794055201698514
7,2012,Q4,2012Q4,1458,29110.0,3830.0,1470.0,1540.0,5320650.0,53679750.0,1826650.0,3078250.0,4617745.25,3.1573850896170597,5.422901559712927,7.198368620375329,4.775440591245026,8.43073385706074
8,2013,Q1,2013Q1,889,24460.0,3350.0,1130.0,1230.0,5324175.0,53772775.0,1828175.0,3080325.0,4623816.0,1.922654361678752,4.548770265250399,6.292054637572957,3.6684440765178996,6.7280211139524395
9,2013,Q2,2013Q2,1146,28610.0,3740.0,1470.0,1520.0,5327700.0,53865800.0,1829700.0,3082400.0,4632297.0,2.4739346376106712,5.311347831091342,7.019914784991648,4.769011160134959,8.307372793354102
10,2013,Q3,2013Q3,1033,26090.0,3880.0,1450.0,1170.0,5332675.0,53978500.0,1832400.0,3084800.0,4640778.0,2.2259198780894063,4.833405893087062,7.275898118674023,4.700466804979253,6.385068762278978
11,2013,Q4,2013Q4,1507,30290.0,4170.0,1560.0,1500.0,5337650.0,54091200.0,1835100.0,3087200.0,4649259.0,3.2413767441220203,5.599801816191913,7.812426817044955,5.053122570614148,8.173941474579042
12,2014,Q1,2014Q1,1094,27340.0,3350.0,1360.0,1130.0,5342625.0,54203900.0,1837800.0,3089600.0,4657740.0,2.3487785921927804,5.043917504091033,6.27032591656723,4.401864319005697,6.148656001741212
13,2014,Q2,2014Q2,1318,30350.0,4670.0,1590.0,1450.0,5347600.0,54316600.0,1840500.0,3092000.0,4668794.25,2.82299867894157,5.587610417441446,8.732889520532575,5.142302716688228,7.878293941863624
14,2014,Q3,2014Q3,1404,27750.0,3360.0,1480.0,1470.0,5353950.0,54434025.0,1843275.0,3093775.0,4679848.5,3.0000971185285166,5.097914401883748,6.275740341243381,4.783799726870894,7.9749359156935355
15,2014,Q4,2014Q4,1702,32380.0,4230.0,1740.0,1470.0,5360300.0,54551450.0,1846050.0,3095550.0,4690902.75,3.6282994781761357,5.93568090307407,7.89134936477436,5.620972040509764,7.962947915820266
16,2015,Q1,2015Q1,1371,34170.0,4490.0,1360.0,1120.0,5366650.0,54668875.0,1848825.0,3097325.0,4701957.0,2.9158071841150397,6.250357264531234,8.366485610203759,4.390885683614086,6.057901640230957
17,2015,Q2,2015Q2,1570,37130.0,3870.0,1750.0,1340.0,5373000.0,54786300.0,1851600.0,3099100.0,4715301.5,3.3295856055015784,6.777241755694398,7.202680067001675,5.646800684069568,7.236984229855261
18,2015,Q3,2015Q3,2033,32170.0,4400.0,1740.0,1370.0,5380925.0,54906750.0,1854225.0,3102625.0,4728646.0,4.299327968302132,5.8590246190131445,8.177032759237493,5.608154385399461,7.388531596758753
19,2015,Q4,2015Q4,2245,39010.0,4460.0,2040.0,1610.0,5388850.0,55027200.0,1856850.0,3106150.0,4741990.5,4.734298813968523,7.089221330541986,8.276348386019281,6.5676158588606475,8.670598055847268
20,2016,Q1,2016Q1,1958,31410.0,4120.0,1380.0,1480.0,5396775.0,55147650.0,1859475.0,3109675.0,4755335.0,4.1174806822232295,5.695618942964931,7.634188936911396,4.437762788715863,7.9592358058054025
21,2016,Q2,2016Q2,2384,36260.0,4410.0,1630.0,1670.0,5404700.0,55268100.0,1862100.0,3113200.0,4768348.25,4.999634831621201,6.560746615136036,8.159564823209429,5.235770268533985,8.96836904570109
22,2016,Q3,2016Q3,2479,35810.0,3700.0,1600.0,1550.0,5409725.0,55355925.0,1864275.0,3116200.0,4781361.5,5.184715692381762,6.469045544808438,6.839534357106877,5.134458635517618,8.314224028107441
23,2016,Q4,2016Q4,3000,38400.0,4640.0,2010.0,1750.0,5414750.0,55443750.0,1866450.0,3119200.0,4794374.75,6.257333138174065,6.925938451132905,8.569186019668498,6.443959989740959,9.376088295962925
24,2017,Q1,2017Q1,2758,37050.0,4390.0,1590.0,1490.0,5419775.0,55531575.0,1868625.0,3122200.0,4807388.0,5.737003129350075,6.671879916966158,8.099967249562944,5.092562936391006,7.973777510201351
25,2017,Q2,2017Q2,3245,42160.0,4670.0,2070.0,1630.0,5424800.0,55619400.0,1870800.0,3125200.0,4822370.0,6.729056459790518,7.58008896176514,8.608612299070932,6.623576091130168,8.71285011759675
26,2017,Q3,2017Q3,3743,36980.0,4250.0,1410.0,1620.0,5428125.0,55708850.0,1873500.0,3128550.0,4837352.0,7.737704430027006,6.638083536098843,7.8295912492803685,4.50688018411085,8.646917534027223
27,2017,Q4,2017Q4,4550,46280.0,4130.0,1820.0,2140.0,5431450.0,55798300.0,1876200.0,3131900.0,4852334.0,9.376930771871844,8.294159499482959,7.60386268860065,5.811168938982727,11.406033471911309
28,2018,Q1,2018Q1,3449,35480.0,4510.0,1370.0,1700.0,5434775.0,55887750.0,1878900.0,3135250.0,4867316.0,7.086040848796339,6.348439505974029,8.298411617776265,4.369667490630731,9.047847144605887
29,2018,Q2,2018Q2,4376,42480.0,5200.0,1560.0,2060.0,5438100.0,55977200.0,1881600.0,3138600.0,4884072.0,8.95973687529586,7.588804013062461,9.562163255548814,4.970368954310839,10.94812925170068
30,2018,Q3,2018Q3,4623,38660.0,4940.0,1300.0,1710.0,5444400.0,56054650.0,1884625.0,3142175.0,4900828.0,9.433099876184187,6.896840850848235,9.073543457497612,4.137261610190394,9.073423094780129
31,2018,Q4,2018Q4,5424,48870.0,5500.0,1590.0,2170.0,5450700.0,56132100.0,1887650.0,3145750.0,4917584.0,11.02980650660975,8.706248296429315,10.090447098537801,5.054438528172932,11.495775170185151
32,2019,Q1,2019Q1,4242,39050.0,5630.0,1330.0,1870.0,5457000.0,56209550.0,1890675.0,3149325.0,4934340.0,8.596894417490484,6.947218043908909,10.317024005864027,4.223127178046089,9.890647520065585
33,2019,Q2,2019Q2,4821,46310.0,5540.0,1600.0,1780.0,5463300.0,56287000.0,1893700.0,3152900.0,4947100.5,9.745102206838126,8.227477037326558,10.140391338568264,5.074693139649211,9.399588107936843
34,2019,Q3,2019Q3,5643,42800.0,5350.0,1390.0,1820.0,5463975.0,56352750.0,1894275.0,3157175.0,4959861.0,11.377334969669512,7.595015327557218,9.791406439451132,4.402670108562243,9.607897480566443
35,2019,Q4,2019Q4,6420,49720.0,6270.0,1760.0,1960.0,5464650.0,56418500.0,1894850.0,3161450.0,4972621.5,12.910695093121404,8.812712142293751,11.473744887595728,5.567065745148587,10.343826688128347
36,2020,Q1,2020Q1,4951,36510.0,4970.0,1290.0,1760.0,5465325.0,56484250.0,1895425.0,3165725.0,4985382.0,9.931034372090243,6.463748744118935,9.093695251426036,4.074895955902677,9.285516440903756
37,2020,Q2,2020Q2,3243,16640.0,820.0,0.0,690.0,5466000.0,56550000.0,1896000.0,3170000.0,4997327.75,6.489468296330974,2.942528735632184,1.500182949140139,0.0,3.639240506329114
38,2020,Q3,2020Q3,5047,42110.0,4220.0,0.0,1830.0,5469475.0,56546600.0,1898150.0,3153850.0,5009273.5,10.075313316392087,7.446955254604167,7.715548567275652,0.0,9.640966203935411
39,2020,Q4,2020Q4,7333,51370.0,5660.0,0.0,2140.0,5472950.0,56543200.0,1900300.0,3137700.0,5021219.25,14.604022718187421,9.085088923159638,10.34177180496807,0.0,11.261379782139661
40,2021,Q1,2021Q1,3967,44510.0,5060.0,0.0,1780.0,5476425.0,56539800.0,1902450.0,3121550.0,5033165.0,7.881720547607718,7.872330641424272,9.239604303902636,0.0,9.356356277431733
41,2021,Q2,2021Q2,4982,43910.0,5070.0,0.0,2000.0,5479900.0,56536400.0,1904600.0,3105400.0,5033165.0,9.898344282375007,7.766677750971056,9.251993649519152,0.0,10.50089257586895
42,2021,Q3,2021Q3,4647,40940.0,5090.0,0.0,1770.0,5479900.0,56536400.0,1904600.0,3105400.0,5033165.0,9.232759108831123,7.241352473804486,9.288490665888064,0.0,9.29328992964402
43,2021,Q4,2021Q4,6957,45570.0,5930.0,0.0,1860.0,5479900.0,56536400.0,1904600.0,3105400.0,5033165.0,13.822316574163573,8.060293899151697,10.82136535338236,0.0,9.765830095558123
